,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
436,855.07385,94.0387,1396.72229,912.73053,306.53619,1250.1616199999999,879.7005,493.08289,1425.58447
437,853.97485,93.04773,1396.00061,911.55841,305.72968,1249.7296099999999,878.80707,491.52441,1425.94482
438,853.32031,92.16521999999999,1395.80249,910.7628800000001,304.56372000000005,1248.6784699999998,878.35345,490.56183,1424.92285
439,852.9331099999999,91.06342,1395.60706,910.40448,302.69092,1247.48755,878.17303,490.1828,1422.60852
440,852.16022,89.84558,1395.11194,909.8684699999999,300.41663,1246.02734,878.55621,490.57532000000003,1418.6389199999999
441,851.47559,88.50232,1394.68787,908.94305,298.08203,1243.62305,879.1574099999999,491.92175,1412.43652
442,851.1456300000001,87.10846,1394.45752,908.43353,295.41797,1241.06775,879.8400300000001,494.14844000000005,1404.12366
443,850.5236800000001,85.39612,1393.92505,908.3161,292.18683,1238.15015,881.06671,497.17554,1393.9465300000002
444,849.96265,83.45026,1393.14075,907.78729,288.65857,1234.19104,882.8706699999999,500.66492,1381.6326900000001
445,849.5278300000001,81.6532,1392.30737,907.0712300000001,284.7373,1229.69312,885.112,504.02899,1367.1908
446,848.8584,79.75403,1390.95044,907.06989,280.52679,1224.62708,887.4363400000001,507.04327,1350.90308
447,848.44214,77.71783,1389.13623,907.56708,275.96802,1219.08374,889.65131,509.48578,1332.55371
448,848.0051900000001,75.48004,1387.29553,907.7998699999999,270.5473,1213.2055699999999,892.617,511.10895,1312.62744
449,847.57104,73.01146999999999,1385.1326900000001,908.26813,264.84711,1206.7675800000002,896.5528,511.40802,1291.8961199999999
450,847.4646,70.6756,1382.72766,909.10345,258.83832,1199.8786599999999,900.5451,509.92139000000003,1270.14734
451,847.1564900000001,68.27509,1380.48999,909.5097,251.6853,1192.5697,904.6486199999999,506.88019,1247.49731
452,847.12146,65.84966999999999,1378.16858,910.01227,243.98552999999998,1184.91333,909.2598300000001,502.14154,1223.86157
453,847.4332300000001,63.32855,1375.87109,910.84552,236.27094,1177.33899,913.44171,495.69513,1198.30554
454,847.05255,60.17876999999999,1373.9675300000001,910.7537199999999,227.62726,1169.8173800000002,917.22235,487.75903,1171.32312
455,846.52307,57.12262,1372.11853,910.16217,218.02271000000002,1161.99023,921.78571,477.93524,1144.6440400000001
